_time,interface_name,path,telegraf_tag,metric_name:infra-statistics.packets_received
2024-05-10T03:00:00.000000+00:00,GigabitEthernet0/0/0/0,Cisco-IOS-XR-infra-statsd-oper:/infra-statistics/interfaces/interface/latest/generic-counters,gnmi,61098
2024-05-10T03:00:30.000000+00:00,GigabitEthernet0/0/0/0,Cisco-IOS-XR-infra-statsd-oper:/infra-statistics/interfaces/interface/latest/generic-counters,gnmi,62100
2024-05-10T03:01:00.000000+00:00,GigabitEthernet0/0/0/0,Cisco-IOS-XR-infra-statsd-oper:/infra-statistics/interfaces/interface/latest/generic-counters,gnmi,63287
2024-05-10T03:01:30.000000+00:00,GigabitEthernet0/0/0/0,Cisco-IOS-XR-infra-statsd-oper:/infra-statistics/interfaces/interface/latest/generic-counters,gnmi,64671
2024-05-10T03:02:00.000000+00:00,GigabitEthernet0/0/0/0,Cisco-IOS-XR-infra-statsd-oper:/infra-statistics/interfaces/interface/latest/generic-counters,gnmi,65718
2024-05-10T03:02:30.000000+00:00,GigabitEthernet0/0/0/0,Cisco-IOS-XR-infra-statsd-oper:/infra-statistics/interfaces/interface/latest/generic-counters,gnmi,66770
2024-05-10T03:03:00.000000+00:00,GigabitEthernet0/0/0/0,Cisco-IOS-XR-infra-statsd-oper:/infra-statistics/interfaces/interface/latest/generic-counters,gnmi,68180
2024-05-10T03:03:30.000000+00:00,GigabitEthernet0/0/0/0,Cisco-IOS-XR-infra-statsd-oper:/infra-statistics/interfaces/interface/latest/generic-counters,gnmi,69413
2024-05-10T03:04:00.000000+00:00,GigabitEthernet0/0/0/0,Cisco-IOS-XR-infra-statsd-oper:/infra-statistics/interfaces/interface/latest/generic-counters,gnmi,70377
2024-05-10T03:04:30.000000+00:00,GigabitEthernet0/0/0/0,Cisco-IOS-XR-infra-statsd-oper:/infra-statistics/interfaces/interface/latest/generic-counters,gnmi,71515
2024-05-10T03:05:00.000000+00:00,GigabitEthernet0/0/0/0,Cisco-IOS-XR-infra-statsd-oper:/infra-statistics/interfaces/interface/latest/generic-counters,gnmi,72421
2024-05-10T03:05:30.000000+00:00,GigabitEthernet0/0/0/0,Cisco-IOS-XR-infra-statsd-oper:/infra-statistics/interfaces/interface/latest/generic-counters,gnmi,73296
2024-05-10T03:06:00.000000+00:00,GigabitEthernet0/0/0/0,Cisco-IOS-XR-infra-statsd-oper:/infra-statistics/interfaces/interface/latest/generic-counters,gnmi,74284
2024-05-10T03:06:30.000000+00:00,GigabitEthernet0/0/0/0,Cisco-IOS-XR-infra-statsd-oper:/infra-statistics/interfaces/interface/latest/generic-counters,gnmi,74819
2024-05-10T03:07:00.000000+00:00,GigabitEthernet0/0/0/0,Cisco-IOS-XR-infra-statsd-oper:/infra-statistics/interfaces/interface/latest/generic-counters,gnmi,75378
2024-05-10T03:07:30.000000+00:00,GigabitEthernet0/0/0/0,Cisco-IOS-XR-infra-statsd-oper:/infra-statistics/interfaces/interface/latest/generic-counters,gnmi,76164
2024-05-10T03:08:00.000000+00:00,GigabitEthernet0/0/0/0,Cisco-IOS-XR-infra-statsd-oper:/infra-statistics/interfaces/interface/latest/generic-counters,gnmi,76865
2024-05-10T03:08:30.000000+00:00,GigabitEthernet0/0/0/0,Cisco-IOS-XR-infra-statsd-oper:/infra-statistics/interfaces/interface/latest/generic-counters,gnmi,77846
2024-05-10T03:09:00.000000+00:00,GigabitEthernet0/0/0/0,Cisco-IOS-XR-infra-statsd-oper:/infra-statistics/interfaces/interface/latest/generic-counters,gnmi,78604
2024-05-10T03:09:30.000000+00:00,GigabitEthernet0/0/0/0,Cisco-IOS-XR-infra-statsd-oper:/infra-statistics/interfaces/interface/latest/generic-counters,gnmi,79290
2024-05-10T03:10:00.000000+00:00,GigabitEthernet0/0/0/0,Cisco-IOS-XR-infra-statsd-oper:/infra-statistics/interfaces/interface/latest/generic-counters,gnmi,80582
2024-05-10T03:10:30.000000+00:00,GigabitEthernet0/0/0/0,Cisco-IOS-XR-infra-statsd-oper:/infra-statistics/interfaces/interface/latest/generic-counters,gnmi,81567
2024-05-10T03:11:00.000000+00:00,GigabitEthernet0/0/0/0,Cisco-IOS-XR-infra-statsd-oper:/infra-statistics/interfaces/interface/latest/generic-counters,gnmi,82638
2024-05-10T03:11:30.000000+00:00,GigabitEthernet0/0/0/0,Cisco-IOS-XR-infra-statsd-oper:/infra-statistics/interfaces/interface/latest/generic-counters,gnmi,83433
2024-05-10T03:12:00.000000+00:00,GigabitEthernet0/0/0/0,Cisco-IOS-XR-infra-statsd-oper:/infra-statistics/interfaces/interface/latest/generic-counters,gnmi,84418
2024-05-10T03:12:30.000000+00:00,GigabitEthernet0/0/0/0,Cisco-IOS-XR-infra-statsd-oper:/infra-statistics/interfaces/interface/latest/generic-counters,gnmi,85539
2024-05-10T03:13:00.000000+00:00,GigabitEthernet0/0/0/0,Cisco-IOS-XR-infra-statsd-oper:/infra-statistics/interfaces/interface/latest/generic-counters,gnmi,86403
2024-05-10T03:13:30.000000+00:00,GigabitEthernet0/0/0/0,Cisco-IOS-XR-infra-statsd-oper:/infra-statistics/interfaces/interface/latest/generic-counters,gnmi,87558
2024-05-10T03:14:00.000000+00:00,GigabitEthernet0/0/0/0,Cisco-IOS-XR-infra-statsd-oper:/infra-statistics/interfaces/interface/latest/generic-counters,gnmi,88496
2024-05-10T03:14:30.000000+00:00,GigabitEthernet0/0/0/0,Cisco-IOS-XR-infra-statsd-oper:/infra-statistics/interfaces/interface/latest/generic-counters,gnmi,89467
2024-05-10T03:15:00.000000+00:00,GigabitEthernet0/0/0/0,Cisco-IOS-XR-infra-statsd-oper:/infra-statistics/interfaces/interface/latest/generic-counters,gnmi,90346
2024-05-10T03:15:30.000000+00:00,GigabitEthernet0/0/0/0,Cisco-IOS-XR-infra-statsd-oper:/infra-statistics/interfaces/interface/latest/generic-counters,gnmi,91684
2024-05-10T03:16:00.000000+00:00,GigabitEthernet0/0/0/0,Cisco-IOS-XR-infra-statsd-oper:/infra-statistics/interfaces/interface/latest/generic-counters,gnmi,92621
2024-05-10T03:16:30.000000+00:00,GigabitEthernet0/0/0/0,Cisco-IOS-XR-infra-statsd-oper:/infra-statistics/interfaces/interface/latest/generic-counters,gnmi,93327
2024-05-10T03:17:00.000000+00:00,GigabitEthernet0/0/0/0,Cisco-IOS-XR-infra-statsd-oper:/infra-statistics/interfaces/interface/latest/generic-counters,gnmi,94395
2024-05-10T03:17:30.000000+00:00,GigabitEthernet0/0/0/0,Cisco-IOS-XR-infra-statsd-oper:/infra-statistics/interfaces/interface/latest/generic-counters,gnmi,95050
2024-05-10T03:18:00.000000+00:00,GigabitEthernet0/0/0/0,Cisco-IOS-XR-infra-statsd-oper:/infra-statistics/interfaces/interface/latest/generic-counters,gnmi,95996
2024-05-10T03:18:30.000000+00:00,GigabitEthernet0/0/0/0,Cisco-IOS-XR-infra-statsd-oper:/infra-statistics/interfaces/interface/latest/generic-counters,gnmi,96522
2024-05-10T03:19:00.000000+00:00,GigabitEthernet0/0/0/0,Cisco-IOS-XR-infra-statsd-oper:/infra-statistics/interfaces/interface/latest/generic-counters,gnmi,97196
2024-05-10T03:19:30.000000+00:00,GigabitEthernet0/0/0/0,Cisco-IOS-XR-infra-statsd-oper:/infra-statistics/interfaces/interface/latest/generic-counters,gnmi,98203
2024-05-10T03:20:00.000000+00:00,GigabitEthernet0/0/0/0,Cisco-IOS-XR-infra-statsd-oper:/infra-statistics/interfaces/interface/latest/generic-counters,gnmi,99350
2024-05-10T03:20:30.000000+00:00,GigabitEthernet0/0/0/0,Cisco-IOS-XR-infra-statsd-oper:/infra-statistics/interfaces/interface/latest/generic-counters,gnmi,100414
2024-05-10T03:21:00.000000+00:00,GigabitEthernet0/0/0/0,Cisco-IOS-XR-infra-statsd-oper:/infra-statistics/interfaces/interface/latest/generic-counters,gnmi,101449
2024-05-10T03:21:30.000000+00:00,GigabitEthernet0/0/0/0,Cisco-IOS-XR-infra-statsd-oper:/infra-statistics/interfaces/interface/latest/generic-counters,gnmi,102469
